time,open,high,low,close,volume,
1.63E+12,49018.03,49031.37,49002.21,49004.85,21.2858,
1.63E+12,49004.84,49012.69,48971.16,48972.14,10.61872,
1.63E+12,48972.14,48991.24,48956.64,48960.31,14.25685,
1.63E+12,48960.31,48960.32,48900,48909.96,59.1405,
1.63E+12,48909.97,48909.97,48890.71,48893.63,22.20261,
1.63E+12,48894.29,48897.74,48856,48863.65,32.98952,
1.63E+12,48863.65,48889.88,48851.18,48852.71,27.74954,
1.63E+12,48852.72,48919.34,48852.72,48914.35,29.66311,
1.63E+12,48914.35,48915.77,48879.5,48904.96,13.3775,
1.63E+12,48904.97,48928.93,48904.96,48923.78,12.83979,
1.63E+12,48923.77,48956,48920.42,48954.71,15.40183,
1.63E+12,48954.71,48954.71,48927,48945.03,14.38401,
1.63E+12,48945.03,48954.71,48945.02,48948,12.90802,
1.63E+12,48948,48968.31,48906.97,48912.17,32.48191,
1.63E+12,48912.17,48936.8,48907.47,48921,10.87181,
1.63E+12,48921.01,48952.22,48921,48942.3,16.64295,
1.63E+12,48942.3,48945.01,48901.82,48901.83,6.99101,
1.63E+12,48901.83,48943.1,48901.82,48942.99,13.80358,
1.63E+12,48943,48973.57,48942.99,48973.56,9.59117,
1.63E+12,48973.56,48973.57,48946.73,48967.87,14.60977,
1.63E+12,48967.87,48967.88,48937.22,48955.01,15.01665,
1.63E+12,48955.01,48967.88,48926.99,48967.87,14.49862,
1.63E+12,48967.88,48999.09,48967.18,48976.24,17.14881,
1.63E+12,48976.23,48983.2,48969.16,48980,6.82637,
1.63E+12,48980,48992,48971.74,48991.99,6.67338,
1.63E+12,48992,48995.2,48941.08,48943.47,6.63904,
1.63E+12,48943.46,48968.78,48933.74,48939.9,10.58921,
1.63E+12,48939.9,48979.99,48932.78,48974.48,21.7273,
1.63E+12,48974.48,48998.99,48969.99,48994.46,10.84972,
1.63E+12,48994.46,48999.98,48965.94,48973.02,15.48769,
1.63E+12,48973.02,48985.27,48950,48950,6.82901,
1.63E+12,48950,48958,48932.53,48934.93,6.04803,
1.63E+12,48934.92,48969.45,48930.81,48965.75,10.72081,
1.63E+12,48965.75,48969.44,48944.74,48958.99,9.24074,
1.63E+12,48959,48959,48927.1,48953.66,7.69712,
1.63E+12,48953.66,48955.99,48911.54,48915.44,20.41619,
1.63E+12,48915.45,48937.32,48907.3,48910.99,7.17502,
1.63E+12,48911,48911,48888,48890.44,36.13018,
1.63E+12,48890.44,48900,48888,48888,11.18646,
1.63E+12,48888.01,48900,48855.73,48897.78,49.82411,
1.63E+12,48897.78,48900,48872.5,48874.36,7.28616,
1.63E+12,48874.37,48932.31,48874.36,48927.99,31.55104,
1.63E+12,48927.98,48932.32,48916.88,48928.32,12.29878,
1.63E+12,48928.33,48948.73,48920,48945.35,11.50458,
1.63E+12,48945.34,48964.5,48945.34,48958.19,19.01972,
1.63E+12,48958.2,48979.57,48935.42,48975.16,12.19207,
1.63E+12,48975.16,48978.54,48950.21,48950.21,12.44669,
1.63E+12,48950.21,48976.91,48940.65,48974.64,18.74022,
1.63E+12,48974.64,48974.65,48954.29,48958.43,12.47514,
1.63E+12,48958.44,48964.1,48952.73,48957.53,8.11825,
1.63E+12,48957.53,48963.54,48940,48940,9.74772,
1.63E+12,48940.01,48948.7,48926,48926.03,7.57984,
1.63E+12,48926.03,48975,48925,48964.63,37.19538,
1.63E+12,48964.64,48970.67,48959,48970.66,10.79663,
1.63E+12,48970.66,48970.67,48956.77,48956.78,5.99338,
1.63E+12,48956.78,48963,48951.28,48959.82,17.27664,
